cell_key,variant,mode,shape_name,shape_json,lengths_json,heads,dim,pre_change_default_normalized,post_heuristic_normalized,pretuned_aot_normalized,fla_triton_normalized,pretuned_aot_vs_post_heuristic,post_heuristic_vs_fla_triton,pre_change_default_latency_us,post_heuristic_latency_us,pretuned_aot_latency_us,fla_triton_latency_us
full_gla::forward_backward::B8_T2048_H32_D256,full_gla,forward_backward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,2.6091595163889645,3.0785623522573364,1.4254900997995656,1.1799057638752644,1.8303596193027445,17434.54583485921,6682.054403093126,5663.210239050523,12230.562553405762
delta_rule::forward::B8_T2048_H32_D256,delta_rule,forward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,2.276631591120919,3.2699113217736366,2.299568094915865,1.436293572717959,0.9900257340299441,4862.186347284624,2135.6930854546763,1486.9474639597627,2114.391114589942
delta_rule::forward_backward::B8_T2048_H32_D256,delta_rule,forward_backward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,1.7425902444784724,2.445565834310763,1.9208106556440285,1.40340842723051,0.9072160440999841,15452.409553527832,8867.494583129883,6318.541638394619,8044.73335678513
gated_delta_rule::forward::B8_T2048_H32_D256,gated_delta_rule,forward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,2.267111709130909,3.337036283353723,2.4175843203817298,1.4719328870799078,0.9377591052430958,5276.31888473243,2327.330789868794,1581.139201588101,2182.4756391120677
gated_delta_rule::forward_backward::B8_T2048_H32_D256,gated_delta_rule,forward_backward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,1.179517304561084,2.570849239789348,2.161783065358678,2.179577382924449,0.5456224185775926,19172.68407344818,16254.686556364362,7457.7239990234375,8868.921392104205
kda::forward::B8_T2048_H32_D256,kda,forward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,1.7605297968882845,2.3982747691907775,1.772652320215625,1.3622460542444095,0.9931613643639572,6546.873704246853,3718.6951994895935,2729.826368667461,3693.2643979787827
kda::forward_backward::B8_T2048_H32_D256,kda,forward_backward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,1.4392187319810976,1.84495570601854,1.4103544559946115,1.2819147395885695,1.0204659728366872,26585.717519124348,18472.325942095587,14409.948939368838,18850.380063056946
kda_fused::forward::B8_T2048_H32_D256,kda_fused,forward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,1.6831446500795095,2.303538300961956,1.7444004848504981,1.3685919988238326,0.9648843053513375,6775.416753508827,4025.4512606440367,2941.3084864616394,3884.0947433521874
vanilla_linear_attn::forward::B8_T1024_H8_D64,vanilla_linear_attn,forward,B8_T1024_H8_D64,"[8,8,1024,64,64]",null,,,1.0,1.0312413565882552,1.0429820784480965,0.6972067925877894,1.0113850378331257,1.4791040012112413,78.12379659310942,75.75704377447886,74.90425598621368,112.05254656676684
vanilla_linear_attn::forward_backward::B8_T1024_H8_D64,vanilla_linear_attn,forward_backward,B8_T1024_H8_D64,"[8,8,1024,64,64]",null,,,1.0,0.995412774586797,1.0083450063351473,0.6610238388907748,1.0129918281928003,1.5058651685802142,304.81135072820473,306.2160326953149,302.28874920107796,461.12005769669474
simple_gla::forward::B8_T1024_H8_D64,simple_gla,forward,B8_T1024_H8_D64,"[8,8,1024,64,64]",null,,,1.0,1.033276013515259,1.0253369415587754,0.652969075934356,0.9923166009346578,1.5824271800876764,110.66615707999051,107.10222209020266,107.93150289869547,169.48146728332344
simple_gla::forward_backward::B8_T1024_H8_D64,simple_gla,forward_backward,B8_T1024_H8_D64,"[8,8,1024,64,64]",null,,,1.0,0.9474952473528937,0.9791321948801025,0.600791457628537,1.0333900857187368,1.5770784276675252,374.1005826537411,394.8310914475835,382.0736205079548,622.6795968944078
retention::forward::B8_T1024_H8_D64,retention,forward,B8_T1024_H8_D64,"[8,8,1024,64,64]",null,,,1.0,0.9842216680625584,1.0125339313462034,0.4537414145693603,1.0287661450691061,2.1691246081133446,106.5693591780545,108.2778022839473,105.25016088731601,234.8680454465414
retention::forward_backward::B8_T1024_H8_D64,retention,forward_backward,B8_T1024_H8_D64,"[8,8,1024,64,64]",null,,,1.0,0.9923439967695372,0.9759553933006319,0.592832635750402,0.9834849573109158,1.673902442151211,376.8606494337727,379.76815566033514,386.1453628113566,635.6948432110962
